Date,Subways: Total Estimated Ridership,Buses: Total Estimated Ridership,LIRR: Total Estimated Ridership,Metro-North: Total Estimated Ridership,Access-A-Ride: Total Scheduled Trips,Bridges and Tunnels: Total Traffic,Staten Island Railway: Total Estimated Ridership
2020-03-01,2212965.0,984908.0,86790.0,55825.0,19922.0,786960.0,1636.0
2020-03-02,5329915.0,2209066.0,321569.0,180701.0,30338.0,874619.0,17140.0
2020-03-03,5481103.0,2228608.0,319727.0,190648.0,32767.0,882175.0,17453.0
2020-03-04,5498809.0,2177165.0,311662.0,192689.0,34297.0,905558.0,17136.0
2020-03-05,5496453.0,2244515.0,307597.0,194386.0,33209.0,929298.0,17203.0
2020-03-06,5189447.0,2066743.0,289171.0,205056.0,30970.0,945408.0,15285.0
2020-03-07,2814637.0,1249085.0,106058.0,75838.0,18117.0,827907.0,2445.0
2020-03-08,2120656.0,957163.0,81565.0,60800.0,19477.0,765083.0,1672.0
2020-03-09,4973513.0,2124770.0,277001.0,183953.0,29609.0,860073.0,16122.0
2020-03-10,4867818.0,2111989.0,259324.0,179050.0,31315.0,855585.0,15805.0
2020-03-11,4697122.0,2112967.0,245798.0,175074.0,32198.0,866706.0,15340.0
2020-03-12,4149505.0,1938424.0,197178.0,169547.0,30814.0,881188.0,14169.0
2020-03-13,3484996.0,1715737.0,158582.0,167176.0,26640.0,860419.0,11769.0
2020-03-14,1670665.0,993287.0,44885.0,39701.0,13394.0,631101.0,2135.0
2020-03-15,1157711.0,711555.0,33407.0,32641.0,12480.0,535987.0,1368.0
2020-03-16,2178555.0,1237309.0,119333.0,153262.0,21145.0,708869.0,5741.0
2020-03-17,1788786.0,1094949.0,83578.0,147391.0,18173.0,650444.0,4573.0
2020-03-18,1625280.0,1059502.0,74883.0,146118.0,15942.0,634853.0,4133.0
2020-03-19,1422112.0,933602.0,59538.0,144466.0,14116.0,569696.0,3452.0
2020-03-20,1309125.0,868602.0,50021.0,145160.0,12744.0,563261.0,3124.0
2020-03-21,619618.0,411491.0,12438.0,23700.0,6467.0,382992.0,1044.0
2020-03-22,408723.0,73517.0,8891.0,20830.0,4824.0,277050.0,641.0
2020-03-23,709499.0,59321.0,30564.0,139285.0,9902.0,361513.0,1639.0
2020-03-24,741587.0,60334.0,29785.0,139194.0,9133.0,395493.0,1727.0
2020-03-25,690032.0,51769.0,26143.0,138239.0,9512.0,375767.0,1572.0
2020-03-26,680360.0,49970.0,23809.0,138668.0,8795.0,390117.0,1563.0
2020-03-27,656817.0,45514.0,20355.0,138903.0,8409.0,396777.0,1495.0
2020-03-28,332393.0,19745.0,5279.0,19088.0,4491.0,240702.0,600.0
2020-03-29,263700.0,14307.0,4358.0,18152.0,3374.0,197154.0,419.0
2020-03-30,545215.0,33659.0,19741.0,137762.0,8084.0,344689.0,1140.0
2020-03-31,508106.0,32211.0,16194.0,137464.0,7672.0,337626.0,1043.0
2020-04-01,513481.0,29373.0,10548.0,9300.0,8151.0,342221.0,720.0
2020-04-02,485586.0,26788.0,10057.0,9492.0,7077.0,339734.0,882.0
2020-04-03,483357.0,24418.0,9657.0,9770.0,7794.0,340272.0,843.0
2020-04-04,282278.0,13168.0,3727.0,4451.0,4375.0,243323.0,425.0
2020-04-05,227303.0,9748.0,2969.0,3601.0,2763.0,209151.0,300.0
2020-04-06,445454.0,22418.0,10127.0,9832.0,7093.0,335768.0,819.0
