datetime,temp,feelslike,precip,snow,windspeed,cloudcover,visibility,uvindex,conditions
2020-01-01 00:00:00,41,34,0.0,0.0,10,97,9,0,0
2020-01-01 01:00:00,39,33,0.0,0.0,9,92,9,0,0
2020-01-01 02:00:00,39,32,0.0,0.0,9,85,9,0,1
2020-01-01 03:00:00,39,30,0.0,0.0,14,54,9,0,1
2020-01-01 04:00:00,38,31,0.0,0.0,12,97,9,0,0
2020-01-01 05:00:00,38,32,0.0,0.0,7,100,9,0,0
2020-01-01 06:00:00,37,32,0.0,0.0,6,91,9,0,0
2020-01-01 07:00:00,37,30,0.0,0.0,9,100,9,0,0
2020-01-01 08:00:00,37,30,0.0,0.0,8,86,9,0,1
2020-01-01 09:00:00,37,29,0.0,0.0,12,86,9,1,1
2020-01-01 10:00:00,38,32,0.0,0.0,7,86,9,2,1
2020-01-01 11:00:00,38,30,0.0,0.0,12,50,9,2,1
2020-01-01 12:00:00,39,31,0.0,0.0,13,82,9,2,1
2020-01-01 13:00:00,38,31,0.0,0.0,9,100,9,1,0
2020-01-01 14:00:00,38,30,0.0,0.0,11,100,9,1,0
2020-01-01 15:00:00,38,30,0.0,0.0,12,100,9,1,0
2020-01-01 16:00:00,38,30,0.0,0.0,11,91,9,0,0
2020-01-01 17:00:00,38,32,0.0,0.0,7,91,9,0,0
2020-01-01 18:00:00,38,31,0.0,0.0,8,97,9,0,0
2020-01-01 19:00:00,37,29,0.0,0.0,10,97,9,0,0
2020-01-01 20:00:00,36,29,0.0,0.0,9,88,9,0,1
2020-01-01 21:00:00,35,27,0.0,0.0,10,4,9,0,2
2020-01-01 22:00:00,35,29,0.0,0.0,6,0,9,0,2
2020-01-01 23:00:00,35,28,0.0,0.0,8,0,9,0,2
2020-01-02 00:00:00,34,29,0.0,0.0,5,0,9,0,2
2020-01-02 01:00:00,34,34,0.0,0.0,1,0,9,0,2
2020-01-02 02:00:00,34,27,0.0,0.0,8,0,9,0,2
2020-01-02 03:00:00,34,28,0.0,0.0,6,0,9,0,2
2020-01-02 04:00:00,34,28,0.0,0.0,6,4,9,0,2
2020-01-02 05:00:00,34,27,0.0,0.0,8,4,9,0,2
2020-01-02 06:00:00,34,28,0.0,0.0,6,4,9,0,2
2020-01-02 07:00:00,34,29,0.0,0.0,5,4,9,0,2
2020-01-02 08:00:00,35,35,0.0,0.0,0,4,9,0,2
2020-01-02 09:00:00,38,35,0.0,0.0,3,4,9,1,2
2020-01-02 10:00:00,41,36,0.0,0.0,7,4,9,3,2
2020-01-02 11:00:00,43,39,0.0,0.0,5,4,9,4,2
2020-01-02 12:00:00,45,41,0.0,0.0,5,4,9,4,2
2020-01-02 13:00:00,46,46,0.0,0.0,2,4,9,3,2
2020-01-02 14:00:00,47,44,0.0,0.0,6,4,9,2,2
2020-01-02 15:00:00,48,45,0.0,0.0,8,15,9,2,2
2020-01-02 16:00:00,48,45,0.0,0.0,7,17,9,1,2
2020-01-02 17:00:00,47,43,0.0,0.0,10,15,9,0,2
2020-01-02 18:00:00,47,44,0.0,0.0,7,4,9,0,2
2020-01-02 19:00:00,47,43,0.0,0.0,8,4,9,0,2
2020-01-02 20:00:00,47,45,0.0,0.0,3,4,9,0,2
2020-01-02 21:00:00,47,44,0.0,0.0,6,56,9,0,1
2020-01-02 22:00:00,46,44,0.0,0.0,4,31,9,0,1
2020-01-02 23:00:00,46,44,0.0,0.0,4,26,9,0,1
2020-01-03 00:00:00,47,44,0.0,0.0,4,92,9,0,0
2020-01-03 01:00:00,47,44,0.0,0.0,4,91,9,0,0
2020-01-03 02:00:00,47,45,0.0,0.0,6,86,9,0,1
2020-01-03 03:00:00,47,44,0.0,0.0,7,100,9,0,0
2020-01-03 04:00:00,47,44,0.01,0.0,5,100,9,0,3
2020-01-03 05:00:00,45,45,0.016,0.0,0,100,7,0,3
2020-01-03 06:00:00,44,41,0.016,0.0,5,100,9,0,3
2020-01-03 07:00:00,45,43,0.02,0.0,3,100,8,0,3
2020-01-03 08:00:00,45,43,0.013,0.0,4,67,8,0,4
2020-01-03 09:00:00,45,45,0.01,0.0,1,63,1,0,4
2020-01-03 10:00:00,45,45,0.02,0.0,1,81,1,0,4
2020-01-03 11:00:00,45,43,0.012,0.0,3,97,3,1,3
2020-01-03 12:00:00,45,42,0.002,0.0,5,94,5,1,3
2020-01-03 13:00:00,47,47,0.0,0.0,0,61,6,1,1
2020-01-03 14:00:00,47,45,0.0,0.0,4,62,6,1,1
2020-01-03 15:00:00,47,46,0.0,0.0,3,77,7,0,1
2020-01-03 16:00:00,48,48,0.0,0.0,1,80,8,0,1
2020-01-03 17:00:00,47,45,0.0,0.0,4,100,9,0,0
2020-01-03 18:00:00,47,47,0.0,0.0,3,45,9,0,1
2020-01-03 19:00:00,48,46,0.0,0.0,4,47,9,0,1
2020-01-03 20:00:00,48,45,0.0,0.0,6,92,9,0,0
2020-01-03 21:00:00,47,46,0.0,0.0,3,100,8,0,0
2020-01-03 22:00:00,47,46,0.012,0.0,3,86,5,0,4
2020-01-03 23:00:00,47,47,0.014,0.0,0,73,6,0,4
2020-01-04 00:00:00,47,47,0.016,0.0,0,92,4,0,3
2020-01-04 01:00:00,47,47,0.0,0.0,0,85,5,0,1
2020-01-04 02:00:00,47,46,0.024,0.0,3,100,3,0,3
2020-01-04 03:00:00,47,45,0.029,0.0,4,61,2,0,4
2020-01-04 04:00:00,46,46,0.071,0.0,0,100,0,0,3
2020-01-04 05:00:00,46,46,0.088,0.0,0,97,1,0,3
2020-01-04 06:00:00,46,46,0.037,0.0,1,97,1,0,3
2020-01-04 07:00:00,47,44,0.0,0.0,6,97,7,0,0
2020-01-04 08:00:00,47,45,0.0,0.0,4,97,3,0,0
2020-01-04 09:00:00,47,44,0.0,0.0,6,100,1,0,0
2020-01-04 10:00:00,47,44,0.0,0.0,7,100,1,0,0
2020-01-04 11:00:00,48,47,0.0,0.0,4,100,1,0,0
2020-01-04 12:00:00,49,48,0.0,0.0,3,100,1,0,0
2020-01-04 13:00:00,49,47,0.0,0.0,4,100,1,1,0
2020-01-04 14:00:00,48,45,0.0,0.0,5,100,2,1,0
2020-01-04 15:00:00,49,47,0.0,0.0,5,92,8,1,0
2020-01-04 16:00:00,49,48,0.0,0.0,4,50,9,0,1
2020-01-04 17:00:00,50,50,0.0,0.0,1,77,9,0,1
2020-01-04 18:00:00,49,48,0.0,0.0,4,77,9,0,1
2020-01-04 19:00:00,49,46,0.0,0.0,7,50,9,0,1
2020-01-04 20:00:00,47,44,0.0,0.0,6,62,9,0,1
2020-01-04 21:00:00,45,42,0.0,0.0,6,85,9,0,1
2020-01-04 22:00:00,44,38,0.012,0.0,10,97,8,0,3
2020-01-04 23:00:00,43,37,0.01,0.0,9,67,9,0,4
2020-01-05 00:00:00,41,33,0.0,0.0,14,50,9,0,1
2020-01-05 01:00:00,39,30,0.0,0.0,20,25,9,0,1
2020-01-05 02:00:00,39,30,0.0,0.0,19,86,9,0,1
2020-01-05 03:00:00,38,30,0.0,0.0,16,75,9,0,1
2020-01-05 04:00:00,38,31,0.0,0.0,12,73,9,0,1
2020-01-05 05:00:00,38,28,0.0,0.0,23,85,9,0,1
2020-01-05 06:00:00,38,28,0.0,0.0,17,97,9,0,0
2020-01-05 07:00:00,38,29,0.0,0.0,14,8,9,0,2
2020-01-05 08:00:00,38,31,0.0,0.0,10,86,9,0,1
2020-01-05 09:00:00,38,29,0.0,0.01,15,86,9,1,1
2020-01-05 10:00:00,38,27,0.0,0.01,20,45,9,1,1
2020-01-05 11:00:00,38,29,0.0,0.01,20,26,9,4,1
2020-01-05 12:00:00,39,30,0.0,0.01,17,86,9,5,1
2020-01-05 13:00:00,39,30,0.0,0.01,19,77,9,3,1
2020-01-05 14:00:00,40,32,0.0,0.0,14,86,9,4,1
2020-01-05 15:00:00,41,35,0.0,0.0,10,97,9,2,0
2020-01-05 16:00:00,40,32,0.0,0.0,15,88,9,1,1
2020-01-05 17:00:00,38,33,0.0,0.01,7,88,9,0,1
2020-01-05 18:00:00,37,27,0.0,0.01,18,4,9,0,2
2020-01-05 19:00:00,37,30,0.0,0.01,9,26,9,0,1
2020-01-05 20:00:00,36,29,0.0,0.01,8,4,9,0,2
2020-01-05 21:00:00,36,30,0.0,0.01,6,4,9,0,2
2020-01-05 22:00:00,35,35,0.0,0.01,2,17,9,0,2
2020-01-05 23:00:00,36,36,0.0,0.01,2,91,9,0,0
2020-01-06 00:00:00,37,31,0.0,0.01,7,92,9,0,0
2020-01-06 01:00:00,32,32,0.01,0.01,2,62,1,0,5
2020-01-06 02:00:00,32,27,0.014,0.01,4,92,1,0,6
2020-01-06 03:00:00,32,24,0.016,0.01,9,54,1,0,5
2020-01-06 04:00:00,32,32,0.0,0.01,0,85,9,0,1
2020-01-06 05:00:00,33,28,0.0,0.01,4,91,9,0,0
2020-01-06 06:00:00,33,25,0.0,0.01,9,86,9,0,1
2020-01-06 07:00:00,33,27,0.0,0.01,6,75,9,0,1
2020-01-06 08:00:00,33,25,0.0,0.01,10,86,8,0,1
2020-01-06 09:00:00,35,27,0.0,0.0,9,86,9,0,1
2020-01-06 10:00:00,36,29,0.0,0.0,9,86,9,1,1
2020-01-06 11:00:00,37,30,0.0,0.0,9,97,9,1,0
2020-01-06 12:00:00,39,31,0.0,0.0,12,91,9,4,0
2020-01-06 13:00:00,43,36,0.0,0.0,11,88,9,3,1
2020-01-06 14:00:00,43,38,0.0,0.0,8,86,9,2,1
2020-01-06 15:00:00,44,39,0.0,0.0,9,50,9,1,1
2020-01-06 16:00:00,44,39,0.0,0.0,9,45,9,1,1
