name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York,ny",1/1/2020,41.3,34.5,37.9,34.3,27.4,30.6,21.5,51.5,0,0,0,,0,0.1,28.2,15.1,271.5,1007.5,76.5,9.9,40.6,3.5,2,,2020-01-01T07:20:08,2020-01-01T16:38:55,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/2/2020,48.8,33.1,41.2,45,26.3,37.3,24.7,52.2,0,0,0,,0,0.1,18.3,9.4,229.3,1013.1,18.8,9.9,83.6,7.4,4,,2020-01-02T07:20:14,2020-01-02T16:39:46,0.25,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/3/2020,48.7,44.3,46.7,48.5,40.9,45,40.6,79.7,0.138,100,50,rain,0,0,11,7.4,251.4,1009.5,84.9,7.9,17.3,1.5,1,,2020-01-03T07:20:18,2020-01-03T16:40:38,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/4/2020,50.4,43.1,47.8,50.4,36.9,45.9,45,90.4,0.275,100,37.5,rain,0,0,26.9,11.7,323,1003.3,87.3,5.3,13.9,1.2,1,,2020-01-04T07:20:20,2020-01-04T16:41:32,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/5/2020,41.8,35.9,38.7,34.8,27.7,30.6,21.7,50.6,0,0,0,rain,0.1,0,39.4,23.2,304.1,1009.5,65.8,9.9,89.7,8,5,,2020-01-05T07:20:20,2020-01-05T16:42:27,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/6/2020,44.2,31.8,38.4,39.3,25.1,32.8,25.9,63.2,0.037,100,12.5,"rain,snow",0.1,0.1,32,12.4,248.3,1014.6,60,8.8,53.4,4.5,4,,2020-01-06T07:20:17,2020-01-06T16:43:23,0.37,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/7/2020,43.7,37,40,42.9,32,35.9,21.9,49,0,0,0,,0,0.2,27.7,10.3,257.8,1015.6,49.1,9.8,51.1,4.4,2,,2020-01-07T07:20:12,2020-01-07T16:44:21,0.4,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/8/2020,41.7,29.9,35,33.1,19.3,26.5,20.4,57.5,0,0,0,,0,0.2,32.9,18.4,276.6,1015.9,41.7,9.5,78.9,6.9,4,,2020-01-08T07:20:05,2020-01-08T16:45:20,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/9/2020,33,23.3,28.8,32.4,10.9,22.2,7.1,39.8,0,0,0,,0,0.1,32.7,20.6,308.1,1038,20,9.9,107,9.1,5,,2020-01-09T07:19:56,2020-01-09T16:46:21,0.46,Clear,Partly cloudy throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/10/2020,54,32.7,44.4,54,26.6,41.1,34.2,67.4,0,0,0,,0,0,24.2,10.4,223,1033.7,61.1,9.9,51.5,4.7,3,,2020-01-10T07:19:44,2020-01-10T16:47:23,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/11/2020,66.7,50.3,59.4,66.7,50.3,59.4,49.3,69.6,0,0,0,,0,0,32.4,13.8,186.9,1022.6,72.5,9.9,70.8,6.2,4,,2020-01-11T07:19:30,2020-01-11T16:48:25,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/12/2020,66.9,47.5,61,66.9,43.7,60.8,44.7,58.2,0.052,100,20.83,rain,0,0,47,19,247.4,1017.5,46.6,9.6,98.5,8.6,5,,2020-01-12T07:19:14,2020-01-12T16:49:29,0.57,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/13/2020,44.8,36.8,41.8,44,30.1,38.2,33.5,72.5,0,0,0,,0,0,14.3,10,35.4,1029,71.2,8.9,24.3,2,1,,2020-01-13T07:18:56,2020-01-13T16:50:34,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York,ny",1/14/2020,45.2,38.8,41.7,42.5,34.5,39.1,36.7,82.9,0.063,100,12.5,rain,0,0,13,8.1,62.8,1024.8,73.1,6.8,32.1,2.8,2,,2020-01-14T07:18:35,2020-01-14T16:51:40,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
